  Frame NC3-PO4 PO4-GL1 GL1-GL2 GL1-C1B GL2-C1A C1A-D2A D2A-C3A C3A-C4A C1B-C2B C2B-C3B C3B-C4B
-----------------------------------------------------------------------------------------------
    123  -0.146   0.635  -0.219   0.269  -0.035   0.428   0.222   0.175   0.467   0.357   0.174
    124  -0.160   0.646  -0.229   0.304  -0.056   0.395   0.285   0.204   0.458   0.347   0.198
    125  -0.141   0.620  -0.213   0.276  -0.024   0.421   0.230   0.218   0.436   0.369   0.231
    126  -0.130   0.617  -0.241   0.306  -0.051   0.426   0.184   0.181   0.479   0.359   0.231
    127  -0.119   0.608  -0.216   0.317  -0.037   0.414   0.189   0.227   0.472   0.349   0.215
    128  -0.126   0.622  -0.224   0.280  -0.046   0.441   0.258   0.199   0.450   0.381   0.253
    129  -0.114   0.627  -0.225   0.300  -0.038   0.378   0.264   0.204   0.452   0.399   0.262
    130  -0.142   0.644  -0.207   0.271  -0.068   0.413   0.178   0.126   0.463   0.395   0.231
    131  -0.162   0.625  -0.255   0.244   0.002   0.438   0.196   0.138   0.469   0.354   0.174
    132  -0.138   0.643  -0.190   0.317  -0.070   0.409   0.223   0.166   0.484   0.356   0.198
    133  -0.131   0.634  -0.235   0.259  -0.019   0.438   0.213   0.125   0.421   0.347   0.158
    134  -0.138   0.618  -0.218   0.276  -0.055   0.403   0.197   0.163   0.446   0.328   0.203
    135  -0.144   0.649  -0.232   0.297  -0.078   0.392   0.265   0.170   0.459   0.353   0.209
    136  -0.131   0.630  -0.211   0.280  -0.050   0.392   0.228   0.199   0.454   0.354   0.231
    137  -0.137   0.628  -0.222   0.319  -0.068   0.392   0.216   0.169   0.473   0.367   0.214
    138  -0.143   0.634  -0.223   0.290  -0.058   0.405   0.231   0.176   0.438   0.373   0.189
    139  -0.142   0.626  -0.214   0.293  -0.022   0.417   0.215   0.157   0.464   0.354   0.221
    140  -0.112   0.615  -0.223   0.276  -0.060   0.402   0.247   0.202   0.417   0.339   0.193
    141  -0.154   0.627  -0.205   0.263  -0.077   0.428   0.197   0.141   0.435   0.375   0.200
    142  -0.113   0.604  -0.250   0.261  -0.066   0.405   0.245   0.179   0.460   0.343   0.188
    143  -0.140   0.630  -0.233   0.307  -0.076   0.401   0.230   0.182   0.415   0.342   0.243
    144  -0.170   0.634  -0.248   0.264  -0.034   0.411   0.209   0.196   0.490   0.391   0.247
    145  -0.102   0.621  -0.209   0.320  -0.055   0.449   0.213   0.153   0.451   0.367   0.190
    146  -0.151   0.628  -0.209   0.306  -0.059   0.407   0.268   0.197   0.479   0.340   0.217
    147  -0.109   0.648  -0.211   0.293  -0.061   0.427   0.236   0.218   0.444   0.377   0.222
    148  -0.143   0.615  -0.206   0.291  -0.066   0.443   0.222   0.191   0.442   0.336   0.237
    149  -0.132   0.613  -0.242   0.266  -0.028   0.442   0.236   0.210   0.449   0.389   0.210
    150  -0.151   0.649  -0.218   0.289  -0.079   0.404   0.248   0.188   0.445   0.339   0.199
    151  -0.146   0.629  -0.225   0.289  -0.091   0.373   0.196   0.163   0.465   0.383   0.201
    152  -0.116   0.638  -0.216   0.307  -0.061   0.424   0.269   0.186   0.460   0.327   0.196
    153  -0.150   0.633  -0.195   0.295  -0.091   0.408   0.231   0.165   0.444   0.357   0.211
    154  -0.111   0.582  -0.207   0.297  -0.071   0.361   0.213   0.161   0.435   0.335   0.169
    155  -0.115   0.627  -0.196   0.305  -0.058   0.392   0.209   0.182   0.492   0.320   0.206
    156  -0.127   0.621  -0.202   0.302  -0.056   0.407   0.266   0.222   0.458   0.340   0.237
    157  -0.130   0.635  -0.237   0.260  -0.023   0.404   0.266   0.185   0.420   0.374   0.190
    158  -0.117   0.641  -0.215   0.286  -0.075   0.411   0.208   0.157   0.438   0.356   0.219
    159  -0.150   0.630  -0.221   0.304  -0.054   0.401   0.206   0.226   0.418   0.347   0.204
    160  -0.120   0.615  -0.196   0.293  -0.083   0.407   0.209   0.155   0.453   0.388   0.219
    161  -0.157   0.621  -0.203   0.279  -0.057   0.431   0.253   0.179   0.496   0.360   0.177
    162  -0.119   0.599  -0.181   0.324  -0.081   0.397   0.219   0.190   0.474   0.344   0.193
    163  -0.126   0.661  -0.206   0.293  -0.054   0.390   0.216   0.182   0.432   0.354   0.197
    164  -0.134   0.636  -0.195   0.287  -0.073   0.448   0.203   0.182   0.443   0.371   0.218
    165  -0.136   0.626  -0.194   0.293  -0.067   0.387   0.205   0.155   0.405   0.327   0.203
    166  -0.163   0.614  -0.206   0.285  -0.055   0.415   0.254   0.214   0.430   0.353   0.231
    167  -0.170   0.620  -0.241   0.254  -0.041   0.417   0.205   0.164   0.441   0.394   0.162
    168  -0.115   0.635  -0.210   0.321  -0.074   0.394   0.235   0.179   0.479   0.378   0.187
    169  -0.187   0.635  -0.223   0.264  -0.061   0.371   0.239   0.173   0.434   0.333   0.181
    170  -0.096   0.629  -0.209   0.273  -0.048   0.437   0.222   0.203   0.436   0.399   0.253
    171  -0.135   0.596  -0.206   0.292  -0.067   0.422   0.238   0.175   0.420   0.327   0.227
